Symbol: ABG Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,48.0,$20.45,5/26/06,,$8.64,48.0,
2,keepbusy_cross(SELL),Sell to Close,-48.0,$20.02,7/14/06,($20.75),($20.75),0.0,
3,keepbusy_cross(Buy),Buy to Open,17.0,$58.35,11/18/16,,($18.20),17.0,
4,keepbusy_cross(SELL),Sell to Close,-17.0,$64.44,3/6/17,$103.61,$82.87,0.0,
5,keepbusy_cross(Buy),Buy to Open,13.0,$73.60,6/8/18,,$90.67,13.0,
6,keepbusy_cross(SELL),Sell to Close,-13.0,$69.25,6/29/18,($56.55),$26.32,0.0,
7,keepbusy_cross(Buy),Buy to Open,13.0,$72.83,4/5/19,,$10.46,13.0,
8,keepbusy_cross(SELL),Sell to Close,-13.0,$74.43,6/3/19,$20.83,$47.15,0.0,
9,keepbusy_cross(Buy),Buy to Open,5.0,$190.02,5/6/22,,$55.20,5.0,
10,keepbusy_cross(SELL),Sell to Close,-5.0,$176.87,5/13/22,($65.76),($18.61),0.0,
11,keepbusy_cross(Buy),Buy to Open,4.0,$221.34,2/16/24,,($36.41),4.0,
12,keepbusy_cross(SELL),Sell to Close,-4.0,$211.80,2/21/24,($38.14),($56.75),0.0,
13,keepbusy_cross(Buy),Buy to Open,4.0,$242.20,8/30/24,,($42.99),4.0,
14,keepbusy_cross(SELL),Sell to Close,-4.0,$236.23,9/5/24,($23.88),($80.63),0.0,
15,keepbusy_cross(Buy),Buy to Open,3.0,$259.88,11/8/24,,($78.92),3.0,
