Symbol: AMG Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,24.0,$41.34,11/3/00,,$26.00,24.0,
2,keepbusy_cross(SELL),Sell to Close,-24.0,$37.34,11/10/00,($95.85),($95.85),0.0,
3,keepbusy_cross(Buy),Buy to Open,13.0,$72.86,9/13/10,,($52.95),13.0,
4,keepbusy_cross(SELL),Sell to Close,-13.0,$103.09,3/14/11,$393.04,$297.18,0.0,
5,keepbusy_cross(Buy),Buy to Open,9.0,$110.46,8/3/12,,$319.95,9.0,
6,keepbusy_cross(SELL),Sell to Close,-9.0,$122.99,11/15/12,$112.78,$409.96,0.0,
7,keepbusy_cross(Buy),Buy to Open,7.0,$137.10,1/7/13,,$411.36,7.0,
8,keepbusy_cross(SELL),Sell to Close,-7.0,$147.00,4/8/13,$69.32,$479.28,0.0,
9,keepbusy_cross(Buy),Buy to Open,5.0,$170.95,7/12/13,,$486.83,5.0,
10,keepbusy_cross(SELL),Sell to Close,-5.0,$196.16,1/27/14,$126.05,$605.33,0.0,
11,keepbusy_cross(Buy),Buy to Open,5.0,$198.55,6/6/14,,$620.48,5.0,
12,keepbusy_cross(SELL),Sell to Close,-5.0,$198.97,8/1/14,$2.12,$607.46,0.0,
13,keepbusy_cross(Buy),Buy to Open,5.0,$198.67,12/1/17,,$603.36,5.0,
14,keepbusy_cross(SELL),Sell to Close,-5.0,$198.24,2/1/18,($2.13),$605.33,0.0,
15,keepbusy_cross(Buy),Buy to Open,13.0,$76.25,10/9/20,,$607.41,13.0,
16,keepbusy_cross(SELL),Sell to Close,-13.0,$153.38,5/20/21,$1,002.71,$1,608.04,0.0,
