Symbol: AMRX Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,109.0,$9.13,1/17/97,,$13.63,109.0,
2,keepbusy_cross(SELL),Sell to Close,-109.0,$8.42,1/27/97,($76.84),($76.84),0.0,
3,keepbusy_cross(Buy),Buy to Open,275.0,$3.63,7/23/99,,$43.47,275.0,
4,keepbusy_cross(SELL),Sell to Close,-275.0,$4.25,10/7/99,$171.88,$95.03,0.0,
5,keepbusy_cross(Buy),Buy to Open,217.0,$4.59,3/21/03,,$32.10,217.0,
6,keepbusy_cross(SELL),Sell to Close,-217.0,$4.30,3/24/03,($63.05),$31.98,0.0,
7,keepbusy_cross(Buy),Buy to Open,49.0,$20.18,5/14/10,,$14.83,49.0,
8,keepbusy_cross(SELL),Sell to Close,-49.0,$19.20,6/25/10,($48.01),($16.03),0.0,
9,keepbusy_cross(Buy),Buy to Open,41.0,$24.10,3/18/11,,($30.79),41.0,
10,keepbusy_cross(SELL),Sell to Close,-41.0,$26.27,6/3/11,$88.84,$72.81,0.0,
11,keepbusy_cross(Buy),Buy to Open,51.0,$19.35,12/2/11,,$84.54,51.0,
12,keepbusy_cross(SELL),Sell to Close,-51.0,$18.70,12/12/11,($33.40),$39.41,0.0,
13,keepbusy_cross(Buy),Buy to Open,45.0,$22.01,11/8/13,,$61.91,45.0,
14,keepbusy_cross(SELL),Sell to Close,-45.0,$23.65,1/28/14,$73.80,$113.21,0.0,
15,keepbusy_cross(Buy),Buy to Open,36.0,$27.23,5/23/14,,$136.97,36.0,
16,keepbusy_cross(SELL),Sell to Close,-36.0,$27.94,7/17/14,$25.67,$138.89,0.0,
17,keepbusy_cross(Buy),Buy to Open,218.0,$4.57,1/4/21,,$206.47,218.0,
18,keepbusy_cross(SELL),Sell to Close,-218.0,$4.78,2/24/21,$45.63,$184.52,0.0,
