Symbol: APPN Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,31.0,$31.45,5/18/18,,$1.24,31.0,
2,keepbusy_cross(SELL),Sell to Close,-31.0,$31.55,7/6/18,$3.03,$3.03,0.0,
3,keepbusy_cross(Buy),Buy to Open,27.0,$35.89,8/17/18,,$11.13,27.0,
4,keepbusy_cross(SELL),Sell to Close,-27.0,$34.37,8/22/18,($40.92),($37.89),0.0,
5,keepbusy_cross(Buy),Buy to Open,27.0,$36.13,6/3/19,,($114.30),27.0,
6,keepbusy_cross(SELL),Sell to Close,-27.0,$34.17,6/4/19,($53.00),($90.89),0.0,
7,keepbusy_cross(Buy),Buy to Open,25.0,$38.83,6/21/19,,($67.89),25.0,
8,keepbusy_cross(SELL),Sell to Close,-25.0,$34.77,6/27/19,($101.47),($192.35),0.0,
9,keepbusy_cross(Buy),Buy to Open,18.0,$54.11,1/17/20,,($210.71),18.0,
10,keepbusy_cross(SELL),Sell to Close,-18.0,$45.79,2/25/20,($149.83),($342.18),0.0,
11,keepbusy_cross(Buy),Buy to Open,24.0,$40.23,5/26/23,,($334.26),24.0,
12,keepbusy_cross(SELL),Sell to Close,-24.0,$46.54,8/7/23,$151.52,($190.66),0.0,
