Symbol: BOX Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_try(Buy),Buy to Open,100.0,$16.95,1/13/17,,($3.00),100.0,
2,keepbusy_try(SELL),Sell to Close,-100.0,$16.48,3/15/17,($47.30),($47.30),0.0,
3,keepbusy_try(Buy),Buy to Open,100.0,$18.77,5/26/17,,($41.30),100.0,
4,keepbusy_try(SELL),Sell to Close,-100.0,$17.50,6/13/17,($127.08),($174.38),0.0,
5,keepbusy_try(Buy),Buy to Open,100.0,$19.73,7/21/17,,($179.38),100.0,
6,keepbusy_try(SELL),Sell to Close,-100.0,$18.75,8/3/17,($98.03),($272.41),0.0,
7,keepbusy_try(SELL),Sell to Close,-100.0,$20.44,4/26/19,$31.00,($273.41),-100.0,
8,keepbusy_try(Buy),Buy to Open,100.0,$20.13,4/26/19,,($241.41),0.0,
9,keepbusy_try(Buy),Buy to Open,100.0,$18.84,12/18/20,,($230.41),100.0,
10,keepbusy_try(SELL),Sell to Close,-100.0,$17.69,1/5/21,($115.47),($356.88),0.0,
11,keepbusy_try(Buy),Buy to Open,100.0,$18.50,2/5/21,,($393.88),100.0,
12,keepbusy_try(SELL),Sell to Close,-100.0,$18.14,2/19/21,($36.18),($393.07),0.0,
