Symbol: GDDY Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,30.0,$32.98,8/12/16,,($10.50),30.0,
2,keepbusy_cross(SELL),Sell to Close,-30.0,$34.08,11/4/16,$33.02,$33.02,0.0,
3,keepbusy_cross(Buy),Buy to Open,27.0,$36.82,11/28/16,,$21.41,27.0,
4,keepbusy_cross(SELL),Sell to Close,-27.0,$34.61,12/2/16,($59.69),($26.67),0.0,
5,keepbusy_cross(Buy),Buy to Open,27.0,$36.61,12/9/16,,($23.70),27.0,
6,keepbusy_cross(SELL),Sell to Close,-27.0,$35.04,12/16/16,($42.45),($69.12),0.0,
7,keepbusy_cross(Buy),Buy to Open,11.0,$86.54,2/5/21,,($63.62),11.0,
8,keepbusy_cross(SELL),Sell to Close,-11.0,$83.02,2/17/21,($38.68),($107.80),0.0,
9,keepbusy_cross(Buy),Buy to Open,11.0,$85.77,6/18/21,,($109.56),11.0,
10,keepbusy_cross(SELL),Sell to Close,-11.0,$83.86,7/16/21,($20.98),($128.79),0.0,
11,keepbusy_cross(Buy),Buy to Open,13.0,$74.58,9/11/23,,($140.23),13.0,
12,keepbusy_cross(SELL),Sell to Close,-13.0,$73.63,9/12/23,($12.31),($141.10),0.0,
