Symbol: GWW Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,117.0,$8.50,11/1/85,,$7.31,117.0,
2,keepbusy_cross(SELL),Sell to Close,-117.0,$10.03,3/19/86,$178.91,$178.91,0.0,
3,keepbusy_cross(Buy),Buy to Open,88.0,$11.25,4/25/86,,$178.91,88.0,
4,keepbusy_cross(SELL),Sell to Close,-88.0,$10.33,5/5/86,($80.85),$98.06,0.0,
5,keepbusy_cross(Buy),Buy to Open,91.0,$10.97,12/1/86,,$95.22,91.0,
6,keepbusy_cross(SELL),Sell to Close,-91.0,$10.71,1/2/87,($23.27),$74.79,0.0,
7,keepbusy_cross(Buy),Buy to Open,70.0,$14.22,2/12/88,,$83.54,70.0,
8,keepbusy_cross(SELL),Sell to Close,-70.0,$15.54,5/26/88,$92.42,$167.21,0.0,
9,keepbusy_cross(Buy),Buy to Open,70.0,$14.13,4/21/89,,$169.40,70.0,
10,keepbusy_cross(SELL),Sell to Close,-70.0,$15.63,7/21/89,$105.47,$272.69,0.0,
11,keepbusy_cross(Buy),Buy to Open,36.0,$27.75,3/20/92,,$295.19,36.0,
12,keepbusy_cross(SELL),Sell to Close,-36.0,$27.28,4/20/92,($16.84),$255.85,0.0,
13,keepbusy_cross(Buy),Buy to Open,29.0,$33.88,2/2/96,,$252.22,29.0,
14,keepbusy_cross(SELL),Sell to Close,-29.0,$33.77,3/26/96,($3.14),$252.71,0.0,
15,keepbusy_cross(Buy),Buy to Open,27.0,$36.94,10/25/96,,$252.71,27.0,
16,keepbusy_cross(SELL),Sell to Close,-27.0,$39.26,1/24/97,$62.80,$315.51,0.0,
17,keepbusy_cross(Buy),Buy to Open,21.0,$47.25,12/3/99,,$326.01,21.0,
18,keepbusy_cross(SELL),Sell to Close,-21.0,$45.77,12/17/99,($31.15),$284.36,0.0,
19,keepbusy_cross(Buy),Buy to Open,25.0,$38.49,4/27/01,,$295.11,25.0,
20,keepbusy_cross(SELL),Sell to Close,-25.0,$40.95,7/9/01,$61.56,$345.92,0.0,
21,keepbusy_cross(Buy),Buy to Open,20.0,$48.46,10/18/02,,$332.32,20.0,
22,keepbusy_cross(SELL),Sell to Close,-20.0,$50.89,1/14/03,$48.56,$394.48,0.0,
23,keepbusy_cross(Buy),Buy to Open,20.0,$47.81,4/2/04,,$409.68,20.0,
24,keepbusy_cross(SELL),Sell to Close,-20.0,$54.32,7/22/04,$130.26,$524.74,0.0,
25,keepbusy_cross(Buy),Buy to Open,10.0,$95.42,10/16/09,,$519.94,10.0,
26,keepbusy_cross(SELL),Sell to Close,-10.0,$96.91,1/5/10,$14.91,$539.64,0.0,
27,keepbusy_cross(Buy),Buy to Open,6.0,$156.21,10/14/11,,$549.84,6.0,
28,keepbusy_cross(SELL),Sell to Close,-6.0,$207.55,4/11/12,$308.06,$847.70,0.0,
29,keepbusy_cross(Buy),Buy to Open,3.0,$256.74,4/4/14,,$841.25,3.0,
30,keepbusy_cross(SELL),Sell to Close,-3.0,$252.00,4/8/14,($14.22),$833.48,0.0,
31,keepbusy_cross(Buy),Buy to Open,2.0,$340.54,7/27/18,,$831.06,2.0,
32,keepbusy_cross(SELL),Sell to Close,-2.0,$349.69,10/5/18,$18.30,$851.78,0.0,
33,keepbusy_cross(Buy),Buy to Open,3.0,$300.13,7/26/19,,$850.79,3.0,
34,keepbusy_cross(SELL),Sell to Close,-3.0,$281.82,8/2/19,($54.92),$796.86,0.0,
35,keepbusy_cross(Buy),Buy to Open,2.0,$378.84,11/6/20,,$820.44,2.0,
36,keepbusy_cross(SELL),Sell to Close,-2.0,$395.30,1/5/21,$32.92,$829.78,0.0,
37,keepbusy_cross(Buy),Buy to Open,1.0,$675.57,2/3/23,,$830.02,1.0,
38,keepbusy_cross(SELL),Sell to Close,-1.0,$646.10,4/6/23,($29.47),$800.31,0.0,
39,keepbusy_cross(Buy),Buy to Open,1.0,$996.93,9/13/24,,$797.20,1.0,
