Symbol: HTLF Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,49.0,$20.35,7/22/05,,($6.86),49.0,
2,keepbusy_cross(SELL),Sell to Close,-49.0,$19.77,7/25/05,($28.35),($28.35),0.0,
3,keepbusy_cross(Buy),Buy to Open,38.0,$25.71,7/28/06,,$1.29,38.0,
4,keepbusy_cross(SELL),Sell to Close,-38.0,$25.02,8/7/06,($26.14),($54.49),0.0,
5,keepbusy_cross(Buy),Buy to Open,37.0,$26.88,9/1/06,,($53.75),37.0,
6,keepbusy_cross(SELL),Sell to Close,-37.0,$25.66,9/8/06,($45.22),($99.71),0.0,
7,keepbusy_cross(Buy),Buy to Open,36.0,$27.63,9/15/06,,($93.23),36.0,
8,keepbusy_cross(SELL),Sell to Close,-36.0,$26.08,9/25/06,($55.79),($155.50),0.0,
9,keepbusy_cross(Buy),Buy to Open,42.0,$23.55,8/15/08,,($204.22),42.0,
10,keepbusy_cross(SELL),Sell to Close,-42.0,$21.39,8/22/08,($90.68),($246.18),0.0,
11,keepbusy_cross(Buy),Buy to Open,59.0,$16.91,11/5/10,,($246.18),59.0,
12,keepbusy_cross(SELL),Sell to Close,-59.0,$15.70,12/6/10,($71.20),($317.37),0.0,
13,keepbusy_cross(Buy),Buy to Open,54.0,$18.22,4/27/12,,($300.63),54.0,
14,keepbusy_cross(SELL),Sell to Close,-54.0,$27.15,11/8/12,$482.38,$165.01,0.0,
15,keepbusy_cross(Buy),Buy to Open,20.0,$48.80,2/17/17,,$170.01,20.0,
16,keepbusy_cross(SELL),Sell to Close,-20.0,$48.14,3/22/17,($13.27),$151.74,0.0,
17,keepbusy_cross(Buy),Buy to Open,17.0,$56.95,6/8/18,,$151.74,17.0,
18,keepbusy_cross(SELL),Sell to Close,-17.0,$54.77,6/28/18,($37.09),$114.65,0.0,
19,keepbusy_cross(Buy),Buy to Open,17.0,$57.70,7/20/18,,$128.25,17.0,
20,keepbusy_cross(SELL),Sell to Close,-17.0,$54.00,7/25/18,($62.90),$51.75,0.0,
21,keepbusy_cross(Buy),Buy to Open,19.0,$50.40,2/3/23,,$62.58,19.0,
22,keepbusy_cross(SELL),Sell to Close,-19.0,$47.93,3/8/23,($46.86),$4.89,0.0,
