Symbol: JAZZ Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,99.0,$10.02,2/22/10,,($1.98),99.0,
2,keepbusy_cross(SELL),Sell to Close,-99.0,$10.75,4/19/10,$72.07,$72.07,0.0,
3,keepbusy_cross(Buy),Buy to Open,21.0,$47.11,8/3/12,,$101.26,21.0,
4,keepbusy_cross(SELL),Sell to Close,-21.0,$46.39,8/9/12,($15.16),$56.91,0.0,
5,keepbusy_cross(Buy),Buy to Open,10.0,$94.53,10/25/13,,$38.61,10.0,
6,keepbusy_cross(SELL),Sell to Close,-10.0,$147.14,3/17/14,$526.15,$583.06,0.0,
7,keepbusy_cross(Buy),Buy to Open,5.0,$187.12,3/20/15,,$592.51,5.0,
8,keepbusy_cross(SELL),Sell to Close,-5.0,$171.15,3/27/15,($79.84),$503.22,0.0,
9,keepbusy_cross(Buy),Buy to Open,6.0,$159.48,6/23/17,,$499.14,6.0,
10,keepbusy_cross(SELL),Sell to Close,-6.0,$153.56,7/7/17,($35.54),$467.68,0.0,
11,keepbusy_cross(Buy),Buy to Open,5.0,$166.85,2/12/21,,$471.03,5.0,
12,keepbusy_cross(SELL),Sell to Close,-5.0,$157.68,2/24/21,($45.83),$421.84,0.0,
13,keepbusy_cross(Buy),Buy to Open,5.0,$169.63,3/19/21,,$435.44,5.0,
14,keepbusy_cross(SELL),Sell to Close,-5.0,$164.12,3/24/21,($27.53),$394.31,0.0,
15,keepbusy_cross(Buy),Buy to Open,5.0,$185.94,6/11/21,,$395.46,5.0,
16,keepbusy_cross(SELL),Sell to Close,-5.0,$176.58,7/16/21,($46.81),$347.50,0.0,
