Symbol: KTOS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,87.0,$11.48,12/17/10,,($10.44),87.0,
2,keepbusy_cross(SELL),Sell to Close,-87.0,$13.36,3/8/11,$163.64,$163.64,0.0,
3,keepbusy_cross(Buy),Buy to Open,167.0,$5.97,9/21/12,,$138.59,167.0,
4,keepbusy_cross(SELL),Sell to Close,-167.0,$5.42,10/11/12,($91.20),$72.44,0.0,
5,keepbusy_cross(Buy),Buy to Open,221.0,$4.52,7/15/16,,$101.17,221.0,
6,keepbusy_cross(SELL),Sell to Close,-221.0,$4.46,7/25/16,($13.35),$59.10,0.0,
7,keepbusy_cross(Buy),Buy to Open,106.0,$9.43,5/12/17,,$53.80,106.0,
8,keepbusy_cross(SELL),Sell to Close,-106.0,$11.06,7/31/17,$172.30,$231.40,0.0,
9,keepbusy_cross(Buy),Buy to Open,81.0,$12.29,2/16/18,,$257.32,81.0,
10,keepbusy_cross(SELL),Sell to Close,-81.0,$11.37,3/2/18,($74.55),$156.85,0.0,
11,keepbusy_cross(Buy),Buy to Open,49.0,$20.08,1/10/20,,$139.21,49.0,
12,keepbusy_cross(SELL),Sell to Close,-49.0,$18.93,1/22/20,($56.36),$100.48,0.0,
13,keepbusy_cross(Buy),Buy to Open,60.0,$16.50,10/13/23,,$127.48,60.0,
14,keepbusy_cross(SELL),Sell to Close,-60.0,$18.69,1/4/24,$131.21,$231.69,0.0,
