Symbol: RAMP Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,484.0,$2.06,7/10/92,,$45.38,484.0,
2,keepbusy_cross(SELL),Sell to Close,-484.0,$4.18,1/28/93,$1,022.95,$1,022.95,0.0,
3,keepbusy_cross(Buy),Buy to Open,38.0,$25.94,12/18/98,,$1,096.58,38.0,
4,keepbusy_cross(SELL),Sell to Close,-38.0,$24.54,1/22/99,($53.14),$969.81,0.0,
5,keepbusy_cross(Buy),Buy to Open,34.0,$28.94,5/14/99,,$939.00,34.0,
6,keepbusy_cross(SELL),Sell to Close,-34.0,$26.63,6/23/99,($78.50),$891.31,0.0,
7,keepbusy_cross(Buy),Buy to Open,25.0,$38.94,1/2/01,,$824.13,25.0,
8,keepbusy_cross(SELL),Sell to Close,-25.0,$37.58,1/3/01,($34.04),$857.27,0.0,
9,keepbusy_cross(Buy),Buy to Open,59.0,$16.75,5/17/02,,$889.13,59.0,
10,keepbusy_cross(SELL),Sell to Close,-59.0,$16.39,6/10/02,($21.37),$835.90,0.0,
11,keepbusy_cross(Buy),Buy to Open,46.0,$21.70,6/10/05,,$829.92,46.0,
12,keepbusy_cross(SELL),Sell to Close,-46.0,$20.63,6/21/05,($49.21),$786.70,0.0,
13,keepbusy_cross(Buy),Buy to Open,39.0,$25.01,9/15/06,,$787.09,39.0,
14,keepbusy_cross(SELL),Sell to Close,-39.0,$24.12,9/28/06,($34.68),$752.01,0.0,
15,keepbusy_cross(Buy),Buy to Open,39.0,$25.11,12/8/06,,$760.98,39.0,
16,keepbusy_cross(SELL),Sell to Close,-39.0,$25.15,1/5/07,$1.70,$753.72,0.0,
17,keepbusy_cross(Buy),Buy to Open,63.0,$15.86,10/1/10,,$758.13,63.0,
18,keepbusy_cross(SELL),Sell to Close,-63.0,$17.64,12/30/10,$112.19,$865.91,0.0,
19,keepbusy_cross(Buy),Buy to Open,45.0,$22.07,7/11/16,,$870.41,45.0,
20,keepbusy_cross(SELL),Sell to Close,-45.0,$25.31,10/12/16,$145.86,$1,011.76,0.0,
21,keepbusy_cross(Buy),Buy to Open,36.0,$27.12,1/13/17,,$1,031.92,36.0,
22,keepbusy_cross(SELL),Sell to Close,-36.0,$26.31,1/23/17,($29.21),$982.56,0.0,
23,keepbusy_cross(Buy),Buy to Open,35.0,$28.22,2/10/17,,$990.96,35.0,
24,keepbusy_cross(SELL),Sell to Close,-35.0,$27.52,3/10/17,($24.50),$958.06,0.0,
