Symbol: SFBS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,47.0,$20.87,10/23/15,,$22.32,47.0,
2,keepbusy_cross(SELL),Sell to Close,-47.0,$22.77,1/5/16,$89.12,$89.12,0.0,
3,keepbusy_cross(Buy),Buy to Open,22.0,$44.39,6/8/18,,$90.88,22.0,
4,keepbusy_cross(SELL),Sell to Close,-22.0,$42.64,6/20/18,($38.56),$50.56,0.0,
5,keepbusy_cross(Buy),Buy to Open,29.0,$33.97,9/13/19,,$54.18,29.0,
6,keepbusy_cross(SELL),Sell to Close,-29.0,$32.45,10/2/19,($43.99),$6.57,0.0,
7,keepbusy_cross(Buy),Buy to Open,28.0,$34.88,6/1/20,,$2.93,28.0,
8,keepbusy_cross(SELL),Sell to Close,-28.0,$33.54,6/12/20,($37.44),($30.87),0.0,
9,keepbusy_cross(Buy),Buy to Open,14.0,$67.28,7/12/24,,($14.77),14.0,
10,keepbusy_cross(SELL),Sell to Close,-14.0,$77.31,10/2/24,$140.38,$109.51,0.0,
